All,Todos
"Flush Cache Storage","Vaciar almacenamiento de caché"
Invalidated,Invalidado
Orders,Pedidos
Amounts,Cantidades
Bestsellers,"Mejor vendidos"
"Most Viewed Products","Productos más vistos"
"New Customers","Nuevos clientes"
Customer,Cliente
Guest,Visitante
Items,Artículos
Total,Totals
"Lifetime Sales","Ventas acumuladas"
"Average Order","Promedio de pedidos"
Average,Promedio
Views,Vistas
Revenue,Ingresos
Tax,Impuestos
Shipping,Envío
"Images (.gif, .jpg, .png)","Imágenes (.gif, .jpg, .png)"
"Media (.avi, .flv, .swf)","Multimedia(.avi, .flv, .swf)"
"All Files","Todos los archivos"
"Reset to Default","Restablecer a valores predeterminados"
"All Store Views","Todas las vistas de la tienda"
"What is this?","¿Qué es esto?"
"Save Account","Guardar Cuenta"
"My Account","Mi Cuenta"
"Account Information","Información de la cuenta"
"User Name","Nombre de usuario"
"First Name",Nombre
"Last Name",Apellidos
Email,"Correo electrónico"
"User Email","Correo electrónico del usuario"
"New Password","Nueva Contraseña"
"Password Confirmation","Confirmación de la contraseña"
"Interface Locale","Interfaz de configuración regional"
"Current User Identity Verification","Verificación de identidad del usuario actual"
"Your Password","Tu contraseña"
"Save Cache Settings","Guardar la configuración de caché"
"Catalog Rewrites","Reescribir el catálogo"
Refresh,Actualizar
"Images Cache","Caché de imágenes"
Clear,Limpiar
"Search Index","Índice de Búsqueda"
Rebuild,Reconstruir
"Inventory Stock Status","Estado de inventario"
"Rebuild Catalog Index","Reconstrucción del índice de catálogo"
"Rebuild Flat Catalog Category","Reconstruir Tabla Plana de Categoría"
"Rebuild Flat Catalog Product","Reconstruir Tabla Plana de Productos"
"Cache Control","Control de caché"
"All Cache","Toda la Cache"
"No change","Sin cambios"
Disable,Desactivar
Enable,Activado
"Add Design Change","Añadir cambio de diseño"
Delete,Borrar
Save,Guardar
"Edit Design Change","Editar cambio de diseño"
"New Store Design Change","Nuevo cambio de diseño de la tienda"
"General Settings","Configuración General"
"-- Please Select --",--Seleccione--
"Custom Design","Diseño Personalizado"
"Date From","Fecha desde"
"Date To","Hasta la fecha"
"Design Change","Cambio de diseño"
"Delete %1 '%2'","Eliminar %1 '%2'"
"Delete %1","Eliminar %1"
"Block Information","Bloque información"
"Backup Options","Opciones de copia de seguridad"
"Create DB Backup","Crear copia de seguridad de la BD"
"Delete Store","Borrar tienda"
"Delete Web Site","Eliminar sitio Web"
"Save Web Site","Guardar sitio Web"
"Save Store","Guardar la tienda"
"Save Store View","Guardar vista de tienda"
"Delete Store View","Eliminar Vista de Tienda"
"Edit Web Site","Editar sitio Web"
"New Web Site","Nuevo sitio Web"
"Edit Store","Editar tienda"
"New Store","Nueva tienda"
"Edit Store View","Editar Vista de Tienda"
"New Store View","Nueva vista de tienda"
"Store Information","Información de la tienda"
"Web Site","Sitio web"
Name,Nombre
Code,Código
"Root Category","Categoría raíz"
"Default Store View","Vista de Tienda Predeterminada"
"Store View Information","Información de la Vista de Tienda"
Disabled,Deshabilitada
"Web Site Information","Información del Sitio Web"
"Default Store","Almacén predeterminado"
"Set as Default","Establecer por defecto"
Stores,Tiendas
"Create Website","Crear sitio web"
"Create Store","Crear Tienda"
"Create Store View","Crear Vista de Tienda"
Home,Inicio
"Are you sure you want to do this?","¿Está seguro de que quiere hacer esto?"
"Add New Image","Añadir nueva imagen"
"Export block for grid %1 is not defined","Bloque de exportación para %1 de red no está definido"
"Reset Filter","Restablecer filtro"
Search,Buscar
Any,Cualquiera
"All Countries","Todos los países"
From,Desde
To,Hasta
"Date selector","Selector de fecha"
"[ deleted ]","[ eliminado ]"
"Select All","Seleccionar Todo"
"We couldn't find any records.","No pudimos encontrar ningún registro."
"Add New","Añadir nuevo"
"Invalid export type supplied for grid export block","Tipo de exportación no válido suministrado para exportación bloque de red"
Export,Exportar
"Please correct the column format and try again.","Por favor corregir el formato de columna y vuelva a intentarlo."
"Please select items.","Por favor selecciona productos."
Submit,Enviar
"Unknown block type","Tipo de bloque desconocido"
"Please correct the tab configuration and try again. Tab Id should be not empty","Por favor, corrija la configuración de pestaña y vuelva a intentarlo. El campo Id no debe estar vacío"
"Please correct the tab configuration and try again.","Por favor corregir la configuración de la ficha y vuelva a intentarlo."
"You have logged out.","Has cerrado la sesión."
"Specified cache type(s) don't exist: %1","Especificado no existen tipos de caché: %1"
"The image cache was cleaned.","Se ha limpiado el caché de la imagen."
"An error occurred while clearing the image cache.","Error al borrar la caché de imagen."
"The JavaScript/CSS cache has been cleaned.","Se ha limpiado la memoria caché de JavaScript/CSS."
"An error occurred while clearing the JavaScript/CSS cache.","Error al borrar la memoria caché de JavaScript/CSS."
"The static files cache has been cleaned.","Se ha limpiado la caché de archivos estáticos."
"You flushed the cache storage.","Se vació la memoria cache."
"The Magento cache storage has been flushed.","La memoria cache de magento se vació."
"Cache Management","Gestión de caché"
"You can't change status of cache type(s) in production mode","No puedes cambiar el estado de los tipos de cache en modo producción"
"%1 cache type(s) disabled.","%1 tipo(s) de memoria cache deshabilitado(s)."
"An error occurred while disabling cache.","Ocurrió un error al desactivar la memoria caché."
"%1 cache type(s) enabled.","%1 tipo(s) de memoria cache habilitado(s)."
"An error occurred while enabling cache.","Ocurrió un error al activar la memoria caché."
"%1 cache type(s) refreshed.","%1 tipo(s) de memoria cache actualizado(s)."
"An error occurred while refreshing cache.","Ocurrió un error al actualizar la memoria caché."
Dashboard,Panel
"We updated lifetime statistic.","Se actualizaron las estadísticas acumuladas."
"We can't refresh lifetime statistics.","No se pueden actualizar las estadísticas acumuladas."
"invalid request","solicitud no válida"
"see error log for details","ver registro de errores para obtener más información"
"Service unavailable: %1","Servicio no disponible: %1"
"Access Denied.","Acceso denegado."
"You need more permissions to do this.","Necesitas más permisos para realizar esta acción."
"No search modules were registered","No se registraron módulos de búsqueda"
"Please make sure that all global admin search modules are installed and activated.","Por favor asegúrese de que todos los módulos de búsqueda global del administrador estén instalados y activados."
"You saved the account.","Se guardó la cuenta."
"An error occurred while saving account.","Ocurrió un error al guardar la cuenta."
"You deleted the design change.","Se ha eliminado el cambio de diseño."
"You can't delete the design change.","No se puede eliminar el cambio de diseño."
"Store Design","Diseño de Tienda"
"Edit Store Design Change","Editar el cambio de diseño de la tienda"
"You saved the design change.","Se guardó el cambio de diseño."
System,Sistema
"Manage Stores","Gestionar tiendas"
"The database was backed up.","La base de datos fue respaldada."
"We can't create a backup right now. Please try again later.","No se puede crear una copia de seguridad ahora. Por favor, inténtelo más tarde."
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.","La eliminación de %1 no eliminará la información asociada con %1 (ejem. categorías, artículos, etc.), pero el %1 no será capaz de restaurarse. Es recomendable que haga una copia de seguridad da la base de datos antes de eliminar %1."
"Something went wrong. Please try again.","Algo salió mal. Por favor, inténtelo de nuevo."
"This store cannot be deleted.","No se puede eliminar esta tienda."
"You deleted the store.","Eliminaste la tienda."
"Unable to delete the store. Please try again later.","No se puede eliminar la tienda. Por favor, inténtelo más tarde."
"This store view cannot be deleted.","No se puede eliminar esta vista de tienda."
"Store View","Vista de la tienda"
"You deleted the store view.","Eliminaste la vista de tienda."
"Unable to delete the store view. Please try again later.","No se puede eliminar la vista de tienda. Por favor, inténtalo más tarde."
"This website cannot be deleted.","No se puede eliminar el sitio web."
"You deleted the website.","Ha eliminado el sitio web."
"Unable to delete the website. Please try again later.","No se puede eliminar el sitio web. Por favor, inténtalo más tarde."
"The website does not exist.","El sitio web no existe."
"Before modifying the website code please make sure it is not used in index.php.","Antes de modificar el código de la página web por favor, asegúrese de que no se utiliza en index.php."
"The store does not exist","La tienda no existe"
"Store view doesn't exist","La vista de tienda no existe"
"Before modifying the store view code please make sure it is not used in index.php.","Antes de modificar el código de vista de la tienda por favor, asegúrese de que no se utiliza en index.php."
"New ","Nuevo "
"All Stores","Todas las tiendas"
"You saved the website.","Se guardó el sitio web."
"The default store cannot be disabled","No se puede deshabilitar la tienda predeterminada"
